route_id,service_id,trip_id,trip_headsign,shape_id,wheelchair_accessible
L30D1,15,40135,"Bulovka",491,1
L30D1,15,40136,"Sídliště Ďáblice",492,1
L30D1,15,40137,"Střelničná",493,1
L30D1,15,40138,"Sídliště Ďáblice",490,1
L30D1,15,40139,"Bulovka",491,1
L30D1,15,40140,"Sídliště Ďáblice",492,1
L30D1,15,40141,"Bulovka",491,1
L30D1,15,40142,"Sídliště Ďáblice",492,1
L30D1,15,40143,"Bulovka",491,1
L30D1,15,40144,"Sídliště Ďáblice",492,1
L30D1,15,40145,"Bulovka",491,1
L30D1,15,40146,"Sídliště Ďáblice",492,1
L30D1,15,40147,"Bulovka",491,1
L30D1,15,40148,"Sídliště Ďáblice",492,1
L30D1,15,40149,"Střelničná",493,1
L30D1,15,40150,"Střelničná",494,1
L30D1,15,40151,"Vozovna Kobylisy",495,1
L30D1,15,40152,"Střelničná",494,1
L30D1,15,40153,"Vozovna Kobylisy",495,1
L30D1,15,40154,"Sídliště Ďáblice",490,1
L30D1,15,40155,"Bulovka",491,1
L30D1,15,40156,"Sídliště Ďáblice",492,1
L30D1,15,40157,"Bulovka",491,1
L30D1,15,40158,"Sídliště Ďáblice",492,1
L30D1,15,40159,"Bulovka",491,1
L30D1,15,40160,"Sídliště Ďáblice",492,1
L30D1,15,40161,"Bulovka",491,1
L30D1,15,40162,"Sídliště Ďáblice",492,1
L30D1,15,40163,"Bulovka",491,1
L30D1,15,40164,"Sídliště Ďáblice",492,1
L30D1,15,40165,"Bulovka",491,1
L30D1,15,40166,"Sídliště Ďáblice",492,1
L30D1,15,40167,"Bulovka",491,1
L30D1,15,40168,"Sídliště Ďáblice",492,1
L30D1,15,40169,"Bulovka",491,1
L30D1,15,40170,"Sídliště Ďáblice",492,1
L30D1,15,40171,"Bulovka",491,1
L30D1,15,40172,"Sídliště Ďáblice",492,1
L30D1,15,40173,"Bulovka",491,1
L30D1,15,40174,"Sídliště Ďáblice",492,1
L30D1,15,40175,"Bulovka",491,1
L30D1,15,40176,"Sídliště Ďáblice",492,1
L30D1,15,40177,"Bulovka",491,1
L30D1,15,40178,"Sídliště Ďáblice",492,1
L30D1,15,40179,"Bulovka",491,1
L30D1,15,40180,"Sídliště Ďáblice",492,1
L30D1,15,40181,"Bulovka",491,1
L30D1,15,40182,"Sídliště Ďáblice",492,1
L30D1,15,40183,"Bulovka",491,1
L30D1,15,40184,"Sídliště Ďáblice",492,1
L30D1,15,40185,"Bulovka",491,1
L30D1,15,40186,"Sídliště Ďáblice",492,1
L30D1,15,40187,"Bulovka",491,1
L30D1,15,40188,"Sídliště Ďáblice",492,1
L30D1,15,40189,"Bulovka",491,1
L30D1,15,40190,"Sídliště Ďáblice",492,1
L30D1,15,40191,"Bulovka",491,1
L30D1,15,40192,"Sídliště Ďáblice",492,1
L30D1,15,40193,"Bulovka",491,1
L30D1,15,40194,"Sídliště Ďáblice",492,1
L30D1,15,40195,"Bulovka",491,1
L30D1,15,40196,"Sídliště Ďáblice",492,1
L30D1,15,40197,"Bulovka",491,1
L30D1,15,40198,"Sídliště Ďáblice",492,1
L30D1,15,40199,"Bulovka",491,1
L30D1,15,40200,"Sídliště Ďáblice",492,1
L30D1,15,40201,"Bulovka",491,1
L30D1,15,40202,"Sídliště Ďáblice",492,1
L30D1,15,40203,"Bulovka",491,1
L30D1,15,40204,"Sídliště Ďáblice",492,1
L30D1,15,40205,"Bulovka",491,1
L30D1,16,40206,"Sídliště Ďáblice",492,1
L30D1,16,40207,"Bulovka",491,1
L30D1,16,40208,"Sídliště Ďáblice",492,1
L30D1,16,40209,"Střelničná",493,1
L30D1,15,40210,"Střelničná",494,1
L30D1,16,40211,"Vozovna Kobylisy",495,1
L30D1,15,40212,"Bulovka",498,1
L30D1,15,40213,"Sídliště Ďáblice",492,1
L30D1,15,40214,"Bulovka",491,1
L30D1,15,40215,"Sídliště Ďáblice",492,1
L30D1,15,40216,"Bulovka",491,1
L30D1,15,40217,"Sídliště Ďáblice",492,1
L30D1,15,40218,"Bulovka",491,1
L30D1,15,40219,"Sídliště Ďáblice",492,1
