service_id,date,exception_type
68,20180219,2
68,20180220,2
68,20180221,2
68,20180222,2
68,20180223,2
69,20180226,2
69,20180227,2
69,20180228,2
70,20180219,2
70,20180220,2
70,20180221,2
70,20180222,2
70,20180223,2
70,20180226,2
70,20180227,2
70,20180228,2
71,20180219,2
71,20180220,2
71,20180221,2
71,20180222,2
72,20180226,2
72,20180227,2
72,20180228,2
73,20180223,2
